Frequency	Acceleration
Hz	m/s²
25E+00	137.4E-03
31.5E+00	99.6E-03
40E+00	114.3E-03
50E+00	125.3E-03
63E+00	124.2E-03
80E+00	127.7E-03
100E+00	130.3E-03
125E+00	164.9E-03
160E+00	159.4E-03
200E+00	95E-03
250E+00	78E-03
315E+00	94.6E-03
400E+00	154.3E-03
500E+00	132.4E-03
630E+00	91.3E-03
800E+00	217.7E-03
1E+03	8.1E+00
1.25E+03	38.23E+00
1.6E+03	3.614E+00
2E+03	102.4E+00
2.5E+03	503E+00
3.15E+03	35.39E+00
4E+03	16.97E+00
5E+03	24.77E+00
6.3E+03	32.03E+00
8E+03	45.05E+00
10E+03	56.1E+00
12.5E+03	21.46E+00
16E+03	15.8E+00
20E+03	14.54E+00
